player_name,team,player_type,games,atBats,hits,doubles,triples,homeRuns,rbi,runs,walks,strikeouts,stolenBases,hbp,ops,total_bases,sorare_score,sorare_avg_per_game
Ryan Kreidler,Minnesota Twins,HITTER,16,43,12,2,0,3,8,9,5,13,0,0,0.889,23,102,6.38
Trevor Larnach,Minnesota Twins,HITTER,44,131,35,8,1,2,14,23,22,29,2,2,0.77,51,256,5.82
Tristan Gray,Minnesota Twins,HITTER,29,81,18,1,0,3,14,9,7,30,0,1,0.635,28,118,4.07
Victor Caratini,Minnesota Twins,HITTER,40,123,22,1,0,2,17,8,13,31,0,7,0.518,29,147,3.68
Adolis García,Philadelphia Phillies,HITTER,55,189,38,7,1,4,15,17,20,65,2,4,0.599,59,224,4.07
Alec Bohm,Philadelphia Phillies,HITTER,52,189,40,7,0,5,23,16,15,29,0,2,0.601,62,263,5.06
Brandon Marsh,Philadelphia Phillies,HITTER,51,181,59,9,2,5,24,28,9,42,4,1,0.837,87,351,6.88
Bryce Harper,Philadelphia Phillies,HITTER,56,199,53,10,1,13,33,33,31,42,4,0,0.884,104,484,8.64
Bryson Stott,Philadelphia Phillies,HITTER,50,173,39,8,2,5,25,15,11,32,10,1,0.656,66,316,6.32
Edmundo Sosa,Philadelphia Phillies,HITTER,31,87,18,3,0,2,14,10,3,20,2,2,0.557,27,133,4.29
Garrett Stubbs,Philadelphia Phillies,HITTER,9,17,4,0,0,0,1,3,1,4,0,2,0.568,4,22,2.44
J.T. Realmuto,Philadelphia Phillies,HITTER,36,120,28,4,0,2,9,11,9,21,1,4,0.623,38,154,4.28
Jhoan Duran,Philadelphia Phillies,HITTER,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Justin Crawford,Philadelphia Phillies,HITTER,51,160,37,7,2,2,12,13,13,33,7,2,0.635,54,230,4.51
Kyle Schwarber,Philadelphia Phillies,HITTER,53,202,48,9,1,21,38,35,32,79,1,4,0.957,122,514,9.7
Otto Kemp,Philadelphia Phillies,HITTER,13,25,2,0,0,0,0,0,1,10,0,1,0.228,2,-2,-0.15
Rafael Marchán,Philadelphia Phillies,HITTER,20,61,5,0,0,1,4,3,1,13,0,2,0.256,8,32,1.6
Trea Turner,Philadelphia Phillies,HITTER,55,226,51,9,0,7,19,34,17,53,11,0,0.637,81,380,6.91
Austin Riley,Atlanta Braves,HITTER,56,208,46,8,1,8,31,28,18,67,3,4,0.679,80,355,6.34
Chadwick Tromp,Atlanta Braves,HITTER,7,16,5,1,0,0,2,1,0,5,0,0,0.688,6,17,2.43
Didier Fuentes,Atlanta Braves,HITTER,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dominic Smith,Atlanta Braves,HITTER,43,111,36,4,1,5,24,17,4,19,0,1,0.861,57,244,5.67
Eli White,Atlanta Braves,HITTER,31,68,15,2,1,2,11,10,3,14,1,1,0.628,25,120,3.87
Ha-Seong Kim,Atlanta Braves,HITTER,12,42,4,0,0,0,2,4,5,13,1,0,0.286,4,28,2.33
Jorge Mateo,Atlanta Braves,HITTER,33,64,20,3,0,2,6,17,4,21,6,0,0.806,29,151,4.58
Matt Olson,Atlanta Braves,HITTER,56,216,56,17,0,15,44,38,27,57,1,1,0.887,118,533,9.52
Mauricio Dubón,Atlanta Braves,HITTER,53,197,51,12,2,3,29,22,13,34,0,2,0.697,76,323,6.09
Michael Harris II,Atlanta Braves,HITTER,53,188,56,6,0,12,32,25,7,39,3,1,0.846,98,389,7.34
Mike Yastrzemski,Atlanta Braves,HITTER,50,141,33,7,1,3,14,23,12,38,1,3,0.67,51,225,4.5
Ozzie Albies,Atlanta Braves,HITTER,56,216,58,8,0,8,27,35,18,29,0,3,0.745,90,403,7.2
Raisel Iglesias,Atlanta Braves,HITTER,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Reynaldo López,Atlanta Braves,HITTER,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Robert Suarez,Atlanta Braves,HITTER,23,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Ronald Acuña Jr.,Atlanta Braves,HITTER,42,157,37,9,1,2,12,22,26,41,8,3,0.695,54,282,6.71
Sandy León,Atlanta Braves,HITTER,9,20,2,0,0,0,0,0,0,6,0,0,0.2,2,-2,-0.22
Tyler Kinley,Atlanta Braves,HITTER,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Benintendi,Chicago White Sox,HITTER,49,158,36,8,2,3,23,17,11,49,1,0,0.634,57,230,4.69
Chase Meidroth,Chicago White Sox,HITTER,53,198,54,9,0,5,18,33,23,51,1,0,0.739,78,328,6.19
Colson Montgomery,Chicago White Sox,HITTER,54,199,45,10,0,13,33,25,21,68,1,8,0.797,94,393,7.28
Derek Hill,Chicago White Sox,HITTER,41,61,15,1,0,3,6,9,7,20,6,0,0.734,25,126,3.07
Drew Romo,Chicago White Sox,HITTER,18,55,10,2,0,5,10,7,9,17,1,1,0.799,27,125,6.94
Edgar Quero,Chicago White Sox,HITTER,39,105,19,1,0,1,13,10,12,31,1,3,0.493,23,122,3.13
Luisangel Acuña,Chicago White Sox,HITTER,40,98,17,1,0,0,5,9,6,20,8,1,0.408,18,113,2.83
Miguel Vargas,Chicago White Sox,HITTER,54,192,45,8,1,12,31,39,36,40,8,5,0.84,91,508,9.41
Munetaka Murakami,Chicago White Sox,HITTER,55,196,47,3,0,20,40,42,42,78,1,1,0.936,110,522,9.49
Randal Grichuk,Chicago White Sox,HITTER,33,63,17,4,0,4,12,13,2,16,0,1,0.823,33,143,4.33
Rikuu Nishida,Chicago White Sox,HITTER,3,7,2,0,0,0,0,1,0,2,0,0,0.572,2,5,1.67
Sam Antonacci,Chicago White Sox,HITTER,38,122,35,5,2,1,13,22,10,21,7,11,0.774,47,266,7.0
Tristan Peters,Chicago White Sox,HITTER,52,131,34,6,1,2,12,17,12,31,4,2,0.697,48,212,4.08
Cade Gibson,Miami Marlins,HITTER,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Christopher Morel,Miami Marlins,HITTER,19,59,10,3,0,0,1,2,3,23,1,1,0.442,13,28,1.47
Connor Norby,Miami Marlins,HITTER,50,160,34,9,0,4,14,16,20,53,6,7,0.668,55,248,4.96
Esteury Ruiz,Miami Marlins,HITTER,25,42,8,3,1,2,5,11,1,15,8,0,0.657,19,122,4.88
Graham Pauley,Miami Marlins,HITTER,33,85,14,6,0,1,9,8,5,22,1,0,0.482,23,98,2.97
Heriberto Hernández,Miami Marlins,HITTER,34,93,19,0,1,2,18,6,11,23,5,1,0.582,27,158,4.65
Jakob Marsee,Miami Marlins,HITTER,55,196,38,5,3,3,15,31,31,54,14,6,0.617,58,361,6.56
Javier Sanoja,Miami Marlins,HITTER,42,115,32,10,0,1,20,7,9,13,3,0,0.722,45,203,4.83
Joe Mack,Miami Marlins,HITTER,19,57,12,3,0,0,6,6,4,19,0,0,0.525,15,58,3.05
Kyle Stowers,Miami Marlins,HITTER,34,123,26,7,0,3,10,16,14,38,1,2,0.643,42,174,5.12
Liam Hicks,Miami Marlins,HITTER,54,178,47,4,0,11,44,27,18,19,1,4,0.81,84,437,8.09
Otto Lopez,Miami Marlins,HITTER,56,219,75,14,2,4,23,31,9,36,10,3,0.851,105,436,7.79
Owen Caissie,Miami Marlins,HITTER,48,133,30,8,0,4,26,15,10,62,3,2,0.658,50,216,4.5
Pete Fairbanks,Miami Marlins,HITTER,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Xavier Edwards,Miami Marlins,HITTER,57,212,67,11,3,6,19,40,28,28,8,0,0.877,102,478,8.39
Aaron Judge,New York Yankees,HITTER,56,202,51,10,0,17,34,41,40,69,5,2,0.934,112,533,9.52
Amed Rosario,New York Yankees,HITTER,31,88,24,3,1,6,20,13,6,19,0,0,0.843,47,203,6.55
Anthony Volpe,New York Yankees,HITTER,11,35,9,3,0,1,7,7,9,10,2,0,0.838,15,95,8.64
Austin Wells,New York Yankees,HITTER,42,131,23,1,0,4,7,13,21,40,0,0,0.563,36,143,3.4
Ben Rice,New York Yankees,HITTER,51,183,53,11,1,16,37,40,27,49,2,2,1.006,114,523,10.25
Cody Bellinger,New York Yankees,HITTER,55,199,54,13,3,8,36,34,34,31,5,0,0.86,97,501,9.11
J.C. Escarra,New York Yankees,HITTER,19,55,11,3,1,0,7,4,4,13,0,0,0.541,16,65,3.42
Jazz Chisholm Jr.,New York Yankees,HITTER,54,195,48,10,1,6,20,25,22,62,13,1,0.724,78,364,6.74
José Caballero,New York Yankees,HITTER,46,151,39,7,0,4,14,18,8,29,13,4,0.697,58,287,6.24
Max Schuemann,New York Yankees,HITTER,12,14,4,2,0,0,1,5,6,4,2,0,0.929,6,50,4.17
Paul Blackburn,New York Yankees,HITTER,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Paul Goldschmidt,New York Yankees,HITTER,31,98,26,6,1,5,15,17,12,22,0,3,0.863,49,220,7.1
Ryan McMahon,New York Yankees,HITTER,51,141,28,4,0,5,18,14,12,48,3,0,0.594,47,195,3.82
Trent Grisham,New York Yankees,HITTER,54,175,36,9,1,7,29,30,32,38,3,0,0.714,68,379,7.02
Andrew Vaughn,Milwaukee Brewers,HITTER,17,52,17,6,0,1,8,9,6,7,0,2,0.917,26,120,7.06
Blake Perkins,Milwaukee Brewers,HITTER,31,63,6,3,0,0,7,6,6,18,2,1,0.329,9,66,2.13
Brice Turang,Milwaukee Brewers,HITTER,50,185,51,11,1,7,30,43,39,54,9,0,0.859,85,485,9.7
Chad Patrick,Milwaukee Brewers,HITTER,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Christian Yelich,Milwaukee Brewers,HITTER,25,93,26,5,1,4,16,16,8,27,3,0,0.821,45,205,8.2
David Hamilton,Milwaukee Brewers,HITTER,43,121,27,2,1,0,8,21,15,28,10,1,0.57,31,207,4.81
Garrett Mitchell,Milwaukee Brewers,HITTER,46,140,33,9,1,3,28,20,24,62,6,1,0.728,53,285,6.2
Gary Sánchez,Milwaukee Brewers,HITTER,31,89,18,3,1,5,15,15,21,23,0,2,0.793,38,204,6.58
Jackson Chourio,Milwaukee Brewers,HITTER,20,86,23,7,0,1,5,9,6,28,5,0,0.699,33,126,6.3
Jake Bauers,Milwaukee Brewers,HITTER,46,164,47,10,0,8,30,29,16,41,4,2,0.851,81,380,8.26
Joey Ortiz,Milwaukee Brewers,HITTER,45,113,22,2,0,1,11,15,16,24,4,0,0.529,27,164,3.64
Luis Rengifo,Milwaukee Brewers,HITTER,45,150,31,8,0,0,14,12,13,19,3,1,0.533,39,188,4.18
Sal Frelick,Milwaukee Brewers,HITTER,51,166,36,5,0,3,18,22,17,21,4,1,0.59,50,266,5.22
Trevor Megill,Milwaukee Brewers,HITTER,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
William Contreras,Milwaukee Brewers,HITTER,50,198,60,9,0,4,33,30,21,27,1,1,0.78,81,390,7.8
Adam Frazier,Los Angeles Angels,HITTER,37,73,17,5,1,1,6,13,7,24,0,1,0.679,27,112,3.03
Donovan Walton,Los Angeles Angels,HITTER,6,15,2,1,0,0,0,2,1,5,0,0,0.388,3,10,1.67
Jo Adell,Los Angeles Angels,HITTER,57,216,52,7,0,8,29,19,7,57,2,8,0.672,83,316,5.54
Jorge Soler,Los Angeles Angels,HITTER,53,192,41,9,0,9,30,25,20,69,0,4,0.698,77,325,6.13
Jose Siri,Los Angeles Angels,HITTER,10,11,3,1,0,1,1,3,1,5,0,0,0.969,7,26,2.6
Logan O'Hoppe,Los Angeles Angels,HITTER,36,109,22,3,0,1,11,13,12,29,0,3,0.553,28,134,3.72
Mike Trout,Los Angeles Angels,HITTER,56,195,46,9,0,13,28,40,50,59,5,3,0.881,94,499,8.91
Oswald Peraza,Los Angeles Angels,HITTER,50,144,39,6,1,6,14,16,9,40,5,6,0.791,65,255,5.1
Sebastián Rivero,Los Angeles Angels,HITTER,20,34,4,0,0,0,0,1,2,8,0,0,0.285,4,7,0.35
